Hs in m, Tp in sec, Dp in deg, Depth in m

 yr,  mo,  da,  hr,  mn,  sc,  Hs,  H1/10, H1/3, Hmax,  Tp, T1/10, T1/3, Tmax,   Dp,  Depth,     CM,       CD
22,10,08,02,27,00,0.30,-0.00,-0.00,-0.00, 7.5,-0.1,-0.1,-0.1, 189,  9.799,   0.065,   241
22,10,08,04,27,00,0.43,0.64,0.51,0.87, 6.7, 5.9, 5.5, 5.9, 173, 10.275,   0.099,   274
22,10,08,06,27,00,0.42,-0.00,-0.00,-0.00, 3.9,-0.1,-0.1,-0.1, 189, 11.718,   0.317,   342
22,10,08,08,27,00,0.34,0.48,0.39,0.64, 5.6, 5.4, 5.0, 6.3, 217, 12.861,   0.195,   338
22,10,08,10,27,00,0.45,0.59,0.47,0.75, 7.5, 5.1, 4.7, 5.8, 149, 12.781,   0.106,   115
22,10,08,12,27,00,0.29,-0.00,-0.00,-0.00, 8.5,-0.1,-0.1,-0.1, 181, 11.286,   0.231,   175
22,10,08,14,27,00,0.26,-0.00,-0.00,-0.00, 5.6,-0.1,-0.1,-0.1, 205,  9.958,   0.107,   218
22,10,08,16,27,00,0.38,-0.00,-0.00,-0.00, 6.1,-0.1,-0.1,-0.1, 189, 10.111,   0.166,   262
22,10,08,18,27,00,0.42,0.63,0.53,-0.00, 6.7, 4.3, 3.9,-0.1, 169, 11.512,   0.286,   341
22,10,08,20,27,00,0.29,0.39,0.32,-0.00, 5.6, 4.9, 4.3,-0.1, 197, 12.776,   0.217,   343
22,10,08,22,27,00,0.36,0.50,0.40,0.71, 5.1, 4.8, 4.4, 4.6, 197, 12.941,   0.078,   101
22,10,09,00,27,00,0.43,0.62,0.54,0.70,14.2, 4.8, 4.5, 3.5,  82, 11.644,   0.259,   164
22,10,09,02,27,00,0.20,-0.00,-0.00,-0.00, 5.6,-0.1,-0.1,-0.1, 213, 10.010,   0.120,   206
22,10,09,04,27,00,0.29,-0.00,-0.00,-0.00, 5.1,-0.1,-0.1,-0.1, 205,  9.871,   0.158,   261
22,10,09,06,27,00,0.27,-0.00,-0.00,-0.00, 5.1,-0.1,-0.1,-0.1, 193, 11.078,   0.264,   332
22,10,09,08,27,00,0.19,-0.00,-0.00,-0.00, 5.1,-0.1,-0.1,-0.1, 189, 12.524,   0.246,   340
22,10,09,10,27,00,0.23,0.38,0.30,0.53, 7.5, 5.4, 4.6, 5.8, 169, 13.055,   0.036,    50
22,10,09,12,27,00,0.40,-0.00,-0.00,-0.00, 2.6,-0.1,-0.1,-0.1, 227, 12.041,   0.244,   147
22,10,09,14,27,00,0.57,0.75,0.61,1.03, 3.3, 3.8, 3.7, 4.6, 217, 10.266,   0.180,   169
22,10,09,16,27,00,0.61,-0.00,-0.00,-0.00, 2.8,-0.1,-0.1,-0.1, 133,  9.800,   0.055,   340
22,10,09,18,27,00,0.67,0.90,0.78,-0.00, 5.6, 4.1, 3.9,-0.1, 205, 10.784,   0.192,   340
22,10,09,20,27,00,0.70,0.79,0.73,1.06, 3.5, 5.3, 3.9, 6.6, 204, 12.288,   0.222,   349
22,10,09,22,27,00,0.76,0.89,0.73,1.19, 5.6, 4.7, 4.6, 5.0, 201, 13.021,   0.083,    30
22,10,10,00,27,00,0.64,0.77,0.71,-0.00, 6.7, 5.1, 3.6,-0.1, 205, 12.249,   0.254,   142
22,10,10,02,27,00,0.47,0.64,0.52,0.87, 6.7, 5.8, 5.5, 5.9, 205, 10.526,   0.208,   184
22,10,10,04,27,00,0.33,-0.00,-0.00,-0.00, 7.5,-0.1,-0.1,-0.1, 205,  9.782,   0.100,   260
22,10,10,06,27,00,0.53,0.73,0.60,0.88, 6.7, 5.5, 5.6, 4.8, 205, 10.587,   0.117,   337
22,10,10,08,27,00,0.33,-0.00,-0.00,-0.00, 6.1,-0.1,-0.1,-0.1, 189, 12.202,   0.293,   340
22,10,10,10,27,00,0.36,0.51,0.41,0.68, 6.1, 6.1, 5.7, 5.4, 185, 13.117,   0.161,   355
22,10,10,12,27,00,0.38,-0.00,-0.00,-0.00, 6.7,-0.1,-0.1,-0.1, 201, 12.609,   0.191,   137
22,10,10,14,27,00,0.26,-0.00,-0.00,-0.00, 6.7,-0.1,-0.1,-0.1, 181, 10.933,   0.241,   174
22,10,10,16,27,00,0.27,-0.00,-0.00,-0.00, 6.1,-0.1,-0.1,-0.1, 173,  9.816,   0.064,   212
22,10,10,18,27,00,0.42,0.61,0.48,0.91, 6.1, 5.7, 5.4, 6.0, 161, 10.346,   0.106,   299
22,10,10,20,27,00,0.30,-0.00,-0.00,-0.00, 6.1,-0.1,-0.1,-0.1, 173, 11.837,   0.299,   342
22,10,10,22,27,00,0.22,0.29,0.24,0.37, 5.6, 5.8, 5.5, 5.8, 185, 12.890,   0.173,   347
22,10,11,00,27,00,0.35,0.54,0.44,-0.00, 5.6, 5.3, 4.8,-0.1, 197, 12.676,   0.109,   121
22,10,11,02,27,00,0.30,-0.00,-0.00,-0.00, 4.7,-0.1,-0.1,-0.1, 213, 11.174,   0.224,   182
22,10,11,04,27,00,0.21,-0.00,-0.00,-0.00, 4.4,-0.1,-0.1,-0.1, 193,  9.920,   0.055,   250
22,10,11,06,27,00,0.36,1.06,0.75,1.42,14.2, 4.9, 5.1, 6.4, 205, 10.261,   0.130,   277
22,10,11,08,27,00,0.28,-0.00,-0.00,-0.00, 6.1,-0.1,-0.1,-0.1, 209, 11.728,   0.322,   343
22,10,11,10,27,00,0.22,-0.00,-0.00,-0.00, 5.1,-0.1,-0.1,-0.1, 197, 12.917,   0.194,   342
22,10,11,12,27,00,0.31,0.46,0.36,0.66, 5.6, 5.5, 5.0, 5.4, 213, 12.911,   0.105,   114
22,10,11,14,27,00,0.34,0.50,0.41,0.67, 5.6, 5.1, 4.9, 5.3, 201, 11.511,   0.277,   167
