Hs in m, Tp in sec, Dp in deg, Depth in m

 yr,  mo,  da,  hr,  mn,  sc,  Hs,  H1/10, H1/3, Hmax,  Tp, T1/10, T1/3, Tmax,   Dp,  Depth,     CM,       CD
22,10,08,20,19,06,0.34,0.46,0.38,0.61, 5.6, 5.1, 4.7, 5.6, 205, 15.106,   0.159,   303
22,10,08,22,19,06,0.39,0.50,0.40,0.63, 7.5, 5.2, 4.7, 5.9, 173, 15.393,   0.111,   111
22,10,09,00,19,06,0.33,0.61,0.54,0.81, 6.7, 5.1, 4.7, 4.3, 187, 14.177,   0.292,   129
22,10,09,02,19,06,0.19,-0.00,-0.00,-0.00, 7.5,-0.1,-0.1,-0.1, 177, 12.431,   0.223,   166
22,10,09,04,19,06,0.24,-0.00,-0.00,-0.00, 6.1,-0.1,-0.1,-0.1, 161, 12.149,   0.135,   244
22,10,09,06,19,06,0.28,-0.00,-0.00,-0.00, 4.7,-0.1,-0.1,-0.1, 182, 13.211,   0.328,   294
22,10,09,08,19,06,0.20,-0.00,-0.00,-0.00, 5.1,-0.1,-0.1,-0.1, 177, 14.839,   0.193,   291
22,10,09,10,19,06,0.30,0.45,0.37,0.68, 4.4, 4.9, 4.4, 5.4, 205, 15.487,   0.029,   123
22,10,09,12,19,06,0.23,-0.00,-0.00,-0.00, 7.5,-0.1,-0.1,-0.1, 182, 14.559,   0.283,   122
22,10,09,14,19,06,0.49,0.62,0.51,0.84, 2.7, 3.4, 3.5, 3.3, 209, 12.698,   0.258,   144
22,10,09,16,19,06,0.46,-0.00,-0.00,-0.00, 4.7,-0.1,-0.1,-0.1, 198, 12.102,   0.082,   224
22,10,09,18,19,06,0.62,0.83,0.69,1.12, 5.6, 3.9, 3.9, 6.1, 209, 12.922,   0.178,   277
22,10,09,20,19,06,0.45,-0.00,-0.00,-0.00, 5.6,-0.1,-0.1,-0.1, 209, 14.579,   0.269,   311
22,10,09,22,19,06,0.69,0.87,0.71,1.19, 6.1, 5.0, 4.9, 5.3, 213, 15.419,   0.036,   310
22,10,10,00,19,06,0.52,-0.00,-0.00,-0.00, 6.1,-0.1,-0.1,-0.1, 209, 14.765,   0.244,   128
22,10,10,02,19,06,0.42,0.64,0.52,0.81, 6.7, 5.0, 5.1, 5.5, 197, 12.944,   0.266,   146
22,10,10,04,19,06,0.32,-0.00,-0.00,-0.00, 6.7,-0.1,-0.1,-0.1, 181, 12.118,   0.139,   183
22,10,10,06,19,06,0.46,0.62,0.51,0.77, 6.7, 6.0, 5.9, 6.1, 197, 12.791,   0.247,   286
22,10,10,08,19,06,0.55,0.86,0.76,1.00, 6.1, 6.0, 5.1, 6.1, 197, 14.481,   0.292,   303
22,10,10,10,19,06,0.41,0.54,0.44,0.72, 6.1, 6.0, 5.9, 5.9, 210, 15.497,   0.124,   294
22,10,10,12,19,06,0.44,0.61,0.51,0.82, 5.6, 5.7, 5.5, 5.5, 202, 15.123,   0.208,   131
22,10,10,14,19,06,0.27,-0.00,-0.00,-0.00, 6.1,-0.1,-0.1,-0.1, 202, 13.389,   0.213,   141
22,10,10,16,19,06,0.26,-0.00,-0.00,-0.00, 6.7,-0.1,-0.1,-0.1, 197, 12.187,   0.184,   177
